experiment_id,experiment_signature,target_key,target,tp,sl,hurdle,hurdle_source,family,variant,features,folds,auc_cal_mean,auc_cal_median,auc_cal_min,logloss_cal_mean,logloss_cal_median,logloss_cal_min,brier_cal_mean,brier_cal_median,brier_cal_min,top1_realised_mean,top1_realised_median,top1_realised_min,top1_lower_2se_mean,top1_lower_2se_median,top1_lower_2se_min,top3_realised_mean,top3_realised_median,top3_realised_min,top3_lower_2se_mean,top3_lower_2se_median,top3_lower_2se_min,top5_realised_mean,top5_realised_median,top5_realised_min,top5_lower_2se_mean,top5_lower_2se_median,top5_lower_2se_min,top10_realised_mean,top10_realised_median,top10_realised_min,top10_lower_2se_mean,top10_lower_2se_median,top10_lower_2se_min,mean_daily_spearman_mean,mean_daily_spearman_median,mean_daily_spearman_min,top1_all_folds_above_hurdle_point,top1_all_folds_clear_hurdle_2se,mean_auc
atr1p5_1p0__hgb_base,4834e82f9d891775,atr1p5_1p0,label_tp_before_sl,,,0.424,existing base_model barrier-scan hurdle,hgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5352749380693473,0.54090785320806,0.5222983748893183,0.5984001770734981,0.5939966685078207,0.5620149723840879,0.2039513007909269,0.20188479652876185,0.18722568063385592,0.4144873949579832,0.4376470588235294,0.26588235294117646,0.36756180164625685,0.38951859242964526,0.2230212720253081,0.3849747899159664,0.37019607843137253,0.2909803921568627,0.35794878679934816,0.3431506733592536,0.26553929195022385,0.37388683473389356,0.35058823529411764,0.288,0.3530534450496362,0.3298863797561412,0.2683534286781158,0.3543187675070028,0.34094117647058825,0.2788235294117647,0.3397247660622099,0.3263987342238018,0.26506661563823397,0.056554652196710166,0.056537247134811015,0.039154661022493924,False,False,0.5352749380693473
atr1p5_1p0__hgb_shallow,de45a422b78c5edf,atr1p5_1p0,label_tp_before_sl,,,0.424,existing base_model barrier-scan hurdle,hgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.536187449530934,0.5423340040283765,0.5238968479301807,0.5986905664884162,0.5939241753396327,0.5642675773367851,0.2038861177977837,0.20181507913695154,0.1871544976338723,0.41596078431372546,0.3952941176470588,0.3035294117647059,0.3686973113459754,0.3478625145611348,0.2589240248087389,0.38078431372549015,0.36941176470588233,0.29490196078431374,0.3537291691044796,0.34237820747350656,0.26936092610016515,0.37032268907563026,0.35811764705882354,0.29270588235294115,0.34947509230144735,0.3373163168785569,0.27296501289052644,0.35843977591036413,0.3463529411764706,0.2856470588235294,0.34379229197353944,0.33175583972963196,0.2717888587329822,0.05918554136266337,0.056243849886346495,0.04449218314279999,False,False,0.536187449530934
atr1p5_1p0__logistic,2a9bceaeb5d44477,atr1p5_1p0,label_tp_before_sl,,,0.424,existing base_model barrier-scan hurdle,logistic,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5297845105350416,0.5373238760559454,0.5114666509330763,0.5987623378419016,0.5941333706124945,0.5622880567607542,0.20406722353108186,0.20184848256207943,0.18732066953056833,0.3480952380952381,0.3404761904761905,0.26823529411764707,0.3021820460491968,0.29423127784015674,0.22525402639405365,0.332547152194211,0.3325396825396825,0.2627450980392157,0.3062575460376168,0.3059948990521442,0.23809316105956085,0.3334173669467787,0.3308235294117647,0.2616470588235294,0.3130447427939648,0.3104099550676039,0.24257750808104864,0.3275456582633053,0.3269047619047619,0.25011764705882356,0.313215194053851,0.31242857329335255,0.23683134062963002,0.049804934130113596,0.04963213674994994,0.036552194514054406,False,False,0.5297845105350416
atr1p5_1p0__extra_trees,01f4d09b7497b6ad,atr1p5_1p0,label_tp_before_sl,,,0.424,existing base_model barrier-scan hurdle,extra_trees,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5356371741157429,0.5410883536081477,0.5250202442615347,0.597964997708021,0.5929555215626072,0.5617584847845369,0.20375338952876137,0.2013737232791044,0.18708497348411143,0.409484593837535,0.43058823529411766,0.3129411764705882,0.36203664140672576,0.38255079823455995,0.2679565781609401,0.390311858076564,0.3992156862745098,0.2980392156862745,0.36310884465796145,0.3717849165408976,0.2724198699568084,0.38259607843137255,0.4033333333333333,0.29505882352941176,0.3615941183334836,0.3819232531281698,0.27527176350646443,0.36888963585434176,0.3780952380952381,0.2912941176470588,0.35412922888254766,0.36313054221189656,0.27735502814446916,0.05953103175595588,0.059983259081866205,0.04540871151149896,False,False,0.5356371741157429
atr1p5_1p0__xgb_classifier,c4c51f870ffaeb17,atr1p5_1p0,label_tp_before_sl,,,0.424,existing base_model barrier-scan hurdle,xgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5366140902941055,0.5427665359340872,0.5237773088191726,0.5984072426885702,0.5940645958745443,0.562190964915419,0.20391397113127666,0.20182478132700005,0.18721786860230014,0.4239271708683473,0.4376470588235294,0.2988235294117647,0.3766050577309382,0.38951859242964526,0.2544160019436946,0.3893930905695612,0.38666666666666666,0.2972549019607843,0.3622629266015186,0.35938998378194076,0.2716549984547732,0.37587450980392156,0.37129411764705883,0.30258823529411766,0.35495188167988023,0.3503320882954683,0.2826575981551879,0.3583260504201681,0.3517647058823529,0.292,0.34367336817605043,0.3371150305973636,0.27805098358938773,0.05912074610223432,0.05686947033118621,0.04358449960993673,False,False,0.5366140902941055
atr1p5_1p0__lgb_classifier,7cbe8143f1d22572,atr1p5_1p0,label_tp_before_sl,,,0.424,existing base_model barrier-scan hurdle,lgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5361191426413052,0.5419586880044569,0.5229137022261037,0.5984540762914167,0.5938840283812609,0.56260907719356,0.2039162030935983,0.20183043328414998,0.18717715724954445,0.406078431372549,0.3952941176470588,0.28,0.35899686177133006,0.3478625145611348,0.2364407097772946,0.3898319327731093,0.39294117647058824,0.31607843137254904,0.36266032246657287,0.3655850840822516,0.290036362445154,0.37559775910364146,0.3783529411764706,0.30023529411764704,0.3546759519463898,0.3573117158451377,0.28034883701580243,0.35758487394957983,0.35294117647058826,0.292,0.34293232226148335,0.33828034582492417,0.27805098358938773,0.05834188965942531,0.05669650579817262,0.04374621276432724,False,False,0.5361191426413052
atr1p5_1p0__xgb_lambdamart,0c1b48daf80eeab7,atr1p5_1p0,label_tp_before_sl,,,0.424,existing base_model barrier-scan hurdle,xgb_ranker,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5347730541948048,0.538559327887609,0.5236792572775752,0.5984315408868739,0.5937059245092159,0.5618449080461764,0.2039742388502901,0.20173001515358882,0.1871757868450648,0.405126050420168,0.38588235294117645,0.30823529411764705,0.35790666071700805,0.3386555248099236,0.26343757384184263,0.37353127917833795,0.35079365079365077,0.2972549019607843,0.3465868579357167,0.3239054362657788,0.2716549984547732,0.36032717086834737,0.34541176470588236,0.2969411764705882,0.3395692424888689,0.324781576545187,0.2771176199932418,0.3474140056022409,0.3327058823529412,0.28847058823529415,0.3328466843544327,0.3182506719119006,0.27457161466477964,0.05441932529221233,0.05870210517529806,0.04119979507981823,False,False,0.5347730541948048
atr1p5_1p0__lgb_lambdarank,7c74b5a49532c23a,atr1p5_1p0,label_tp_before_sl,,,0.424,existing base_model barrier-scan hurdle,lgb_ranker,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5350639058442004,0.5357458064477315,0.522459988307292,0.5990714288991482,0.5931929238733378,0.5635495824984392,0.20406431511622988,0.20151285663425253,0.1876658799449964,0.37302521008403355,0.4117647058823529,0.24705882352941178,0.326651585453901,0.3640188558874454,0.20521645701826174,0.35716339869281044,0.3843137254901961,0.2643137254901961,0.33049781649249177,0.35706804954530075,0.23961462778450848,0.355327731092437,0.3703529411764706,0.2696470588235294,0.3346640139135025,0.3494018321444337,0.2503933338673138,0.3431165266106443,0.35223529411764704,0.2703529411764706,0.3286017997140865,0.3375811450020672,0.25672728273802686,0.05544731011502726,0.057217257850723145,0.041214094290831615,False,False,0.5350639058442004
3p2__hgb_base,f0a0b6d1733d5a15,3p2,label_tp_before_sl_3p2,0.03,0.02,0.47,simple TP/SL binary-payoff breakeven at 35 bps,hgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.537081370152594,0.5353270693480094,0.5306735585756539,0.6640031192341931,0.6675730235762174,0.6444983136725505,0.23568492821091466,0.23726584536339423,0.2264462132557625,0.41921568627450984,0.4117647058823529,0.36666666666666664,0.37143935415872764,0.3640188558874454,0.3196385876963301,0.4167450980392157,0.40705882352941175,0.3772549019607843,0.38917144284977245,0.379541303251467,0.3501062976398978,0.41126498599439776,0.3971764705882353,0.3618823529411765,0.38995532729686827,0.37594708709773017,0.3410333827334718,0.41077759103641454,0.40305882352941175,0.3644705882352941,0.39570997369289473,0.38801059022901874,0.3497055491290584,0.056117739166926875,0.05756299583263839,0.047336484599258974,False,False,0.537081370152594
3p2__hgb_shallow,d66961406ee3ee02,3p2,label_tp_before_sl_3p2,0.03,0.02,0.47,simple TP/SL binary-payoff breakeven at 35 bps,hgb_classifier,raw,D_rsi14|D_atr_pct|D_ema20_angle_deg|D_dvol_z20|D_pos_in_52w_range,5,0.5393247112026276,0.5371460811138495,0.5333109725986004,0.6634057911127931,0.6665729382582131,0.6444367523352342,0.23544917273573032,0.23699371923194945,0.22639813626918678,0.43337254901960787,0.4258823529411765,0.38333333333333336,0.3854580012833173,0.37791112878291666,0.3358852274562517,0.42680298786181137,0.4235294117647059,0.3756862745098039,0.39916240172312756,0.3958532877509758,0.34856007141016,0.4197355742296919,0.416,0.37411764705882355,0.39835745322642757,0.39461527758091824,0.35312336735755623,0.4134543417366947,0.4056470588235294,0.376,0.3983678500641309,0.39058335027330926,0.3611398994540651,0.059533522057863796,0.06210150591804948,0.051366453452461866,False,False,0.5393247112026276
